idx,tag,num_faces,maxIoU,meanCov,maxCov,anyCover,score,overlap,area,face_inside_penalty,face_conflict_penalty,svg_penalty
136,improved_top,1,0.19682610034942627,0.0,0.0,0.0,2.034069457650185,0.03236690163612366,0.25258538126945496,0.0,0.0,0.0
137,improved_top,1,0.1440800130367279,0.0,0.0,0.0,0.19292552024126053,0.019292552024126053,0.2076757699251175,0.0,0.0,0.0
138,improved_top,1,0.17193524539470673,0.0,0.0,0.0,0.4811560404486954,0.02898169052787125,0.22882002592086792,0.0,0.0,0.06377971172332764
139,improved_top,1,0.1957901567220688,0.0,0.0,0.0,0.26207803612342095,0.02308286083280109,0.1696101427078247,0.0,0.0,0.0
140,improved_top,1,0.24422964453697205,0.0,0.0,0.0,0.8636637773364784,0.037648736499249935,0.21454596519470215,0.0,0.0,0.0
141,improved_top,1,0.17221257090568542,0.2471042424440384,0.2471042424440384,1.0,0.39958813693374395,0.03163720341399312,0.13849148154258728,0.0,0.004160805139690638,0.0
142,improved_top,1,0.21529115736484528,0.0,0.0,0.0,1.4258105769753457,0.01920776441693306,0.1809239536523819,0.0,0.0,0.0
143,improved_top,1,0.16358867287635803,0.0,0.0,0.0,0.32501398120075464,0.032501398120075464,0.23563851416110992,0.0,0.0,0.0
144,improved_top,1,0.17625802755355835,0.0,0.0,0.0,0.23657644167542458,0.023657644167542458,0.1998933106660843,0.0,0.0,0.0
145,improved_top,1,0.17344479262828827,0.0,0.0,0.0,0.2848852798342705,0.028488527983427048,0.24715901911258698,0.0,0.0,0.0
146,improved_top,1,0.21521613001823425,0.0,0.0,0.0,0.40483539924025536,0.040483539924025536,0.2335907369852066,0.0,0.0,0.0
147,improved_top,1,0.15784204006195068,0.0,0.0,0.0,0.4765338376164438,0.026797514408826828,0.12108489871025085,0.0,0.0,0.0
148,improved_top,1,0.19543680548667908,0.0,0.0,0.0,0.3351220972836019,0.028559895232319832,0.2037200629711151,0.0,0.0,0.0
149,improved_top,1,0.17420463263988495,0.0,0.0,0.0,0.16359450295567513,0.016359450295567513,0.1589893251657486,0.0,0.0,0.0
150,improved_top,1,0.2340608388185501,0.0,0.0,0.0,1.1307426631450654,0.044424377381801605,0.2611510157585144,0.0,0.0,0.0
151,improved_top,1,0.14208099246025085,0.0,0.0,0.0,0.9160483144223694,0.0201066043227911,0.21183691918849945,0.0,0.0,0.0
152,improved_top,1,0.14585770666599274,0.0,0.0,0.0,0.2537136748433113,0.021081585437059402,0.19174396991729736,0.0,0.0,0.014299273490905762
153,improved_top,1,0.15884016454219818,0.0,0.0,0.0,0.07649737875908613,0.007649737875908613,0.07684288918972015,0.0,0.0,0.0
154,improved_top,1,0.19274885952472687,0.0,0.0,0.0,0.7676185198128225,0.023251118138432503,0.17093034088611603,0.0,0.0,0.0
155,improved_top,1,0.17870309948921204,0.0,0.0,0.0,0.17147919163107872,0.017147919163107872,0.14753368496894836,0.0,0.0,0.0
156,improved_top,1,0.13685420155525208,0.0,0.0,0.0,0.1748432219028473,0.01748432219028473,0.16357313096523285,0.0,0.0,0.0
157,improved_top,1,0.1608620285987854,0.0,0.0,0.0,0.3140285514295102,0.0224661435931921,0.18754491209983826,0.0,0.0,0.0
158,improved_top,1,0.14255239069461823,0.0,0.0,0.0,1.0764192879199983,0.019207440316677094,0.2252790480852127,0.0,0.0,0.0
159,improved_top,1,0.16175174713134766,0.0,0.0,0.0,0.4035410769283773,0.02477988786995411,0.21632567048072815,0.0,0.0,0.0
