index,WR,LWR,DWS,num_cc,L,R,T,B,S_frame,S_side,S_tb,S_pos
519,0.71923828125,0.71923828125,0.93771488256843,1.0,0.4963597059249878,0.0,0.4426742494106293,0.0,0.11699622124433517,0.9377148956060409,0.8464496195316314,0.9377148956060409
520,0.69891357421875,0.69891357421875,0.9262381361519839,1.0,0.49541619420051575,0.0,0.3448899984359741,0.0,0.1017201617360115,0.9262381494045259,0.6703436166048049,0.9262381494045259
521,0.71612548828125,0.71612548828125,0.6405167311394976,1.0,0.2725335955619812,0.0,0.3407018780708313,0.0,0.07571300119161606,0.5246306598186493,0.6405167400836944,0.6405167400836944
522,0.73046875,0.73046875,0.9410107752007898,1.0,0.49663397669792175,0.0,0.4706963002681732,0.0,0.12082938104867935,0.9410107880830765,0.8969167381525041,0.9410107880830765
523,0.6549072265625,0.6549072265625,0.5957938952667304,1.0,0.16468675434589386,0.0,0.3218473494052887,0.0,0.054771460592746735,0.32862089276313783,0.5957939043641091,0.5957939043641091
524,0.68817138671875,0.68817138671875,0.412488105859626,1.0,0.18836307525634766,0.0,0.21869544684886932,0.0,0.0506005696952343,0.36092308014631275,0.4124881118535995,0.4124881118535995
525,0.74609375,0.74609375,0.9537966004325295,1.0,0.4963350296020508,0.0,0.5023128390312195,0.0,0.12482651323080063,0.9436343371868133,0.9537966132164002,0.9537966132164002
526,0.9141845703125,0.9141845703125,0.8898253820358673,1.0,0.501829981803894,0.10668635368347168,0.3627975285053253,0.35600757598876953,0.2606206312775612,0.8898253917694092,0.42908112406730653,0.8898253917694092
527,0.66143798828125,0.66143798828125,0.6244748155238308,1.0,0.15526796877384186,0.0,0.33830446004867554,0.0,0.05372665822505951,0.31331278979778293,0.6244748249650003,0.6244748249650003
528,0.7259521484375,0.7259521484375,0.9393710960689403,1.0,0.4965510368347168,0.0,0.4557924270629883,0.0,0.11882508546113968,0.9393711090087891,0.8700814723968506,0.9393711090087891
529,0.66094970703125,0.66094970703125,0.5441663540525162,1.0,0.25948935747146606,0.0,0.28789857029914856,0.0,0.06823944300413132,0.4958707004785538,0.544166362285614,0.544166362285614
